Name,Age,Education,Skills,Interests,Recommended_Career
Fred Kintu 170,39,Bachelor's,"classroom management, communication, academic writing","learning technologies, educational development, student success",Primary School Teacher
Diana Kobusingye 171,34,PhD,"curriculum development, lesson planning, research, student engagement, assessment design","research, curriculum planning",Special Education Teacher
Fred Kintu 172,20,Bachelor's,"research, subject knowledge, curriculum development, mentoring","student success, educational development",Education Policy Analyst
Fred Kintu 173,51,UCE Certificate,"subject knowledge, classroom management, communication","mentoring students, research",Education Policy Analyst
John Okello 174,26,UACE Certificate,"lesson planning, academic writing, mentoring, communication","teaching, research, learning technologies",Primary School Teacher
Paul Mugisha 175,40,PhD,"subject knowledge, communication, lesson planning, assessment design, curriculum development","curriculum planning, teaching",University Lecturer
Emily Katusabe 176,55,UCE Certificate,"assessment design, curriculum development, research","educational development, mentoring students",Education Policy Analyst
Paul Mugisha 177,44,Bachelor's,"research, lesson planning, assessment design, academic writing","student success, mentoring students, learning technologies",Education Consultant
Emily Katusabe 178,23,Bachelor's,"classroom management, lesson planning, research","educational development, mentoring students, research",Education Consultant
Susan Aine 179,59,Bachelor's,"classroom management, subject knowledge, student engagement","student success, mentoring students",Secondary School Teacher
John Okello 180,22,Master's,"lesson planning, classroom management, academic writing, communication","curriculum planning, teaching, learning technologies",Education Policy Analyst
Robert Ssenyonga 181,51,Bachelor's,"student engagement, communication, mentoring, subject knowledge, academic writing","research, teaching, educational development",Education Consultant
Robert Ssenyonga 182,35,Master's,"curriculum development, research, student engagement, academic writing","curriculum planning, mentoring students",School Administrator
Michael Lwanga 183,31,Bachelor's,"subject knowledge, student engagement, research, communication, mentoring","student success, curriculum planning",Education Policy Analyst
Fred Kintu 184,54,Master's,"communication, student engagement, curriculum development, subject knowledge, mentoring","curriculum planning, mentoring students, teaching",Education Consultant
Susan Aine 185,54,UCE Certificate,"classroom management, student engagement, subject knowledge, research, communication","student success, curriculum planning",Secondary School Teacher
Diana Kobusingye 186,39,UCE Certificate,"classroom management, academic writing, communication, mentoring","educational development, student success",Special Education Teacher
Alice Kyomuhendo 187,33,UCE Certificate,"student engagement, lesson planning, classroom management, curriculum development","research, educational development",School Administrator
Alice Kyomuhendo 188,28,PhD,"academic writing, subject knowledge, student engagement, classroom management, communication","student success, curriculum planning, research",Education Consultant
Alice Kyomuhendo 189,20,Bachelor's,"classroom management, subject knowledge, mentoring, assessment design, communication","student success, educational development",Primary School Teacher
Alice Kyomuhendo 190,46,UACE Certificate,"subject knowledge, lesson planning, communication, curriculum development","curriculum planning, educational development, learning technologies",University Lecturer
Fred Kintu 191,40,Bachelor's,"lesson planning, student engagement, communication, subject knowledge, mentoring","educational development, teaching, student success",Education Policy Analyst
Fred Kintu 192,36,Bachelor's,"student engagement, communication, academic writing, mentoring, curriculum development","educational development, research",Curriculum Developer
Diana Kobusingye 193,33,PhD,"communication, lesson planning, curriculum development","curriculum planning, educational development",Secondary School Teacher
Susan Aine 194,59,UACE Certificate,"academic writing, research, mentoring","student success, learning technologies, educational development",Education Policy Analyst
John Okello 195,37,PhD,"subject knowledge, student engagement, lesson planning","research, educational development",Academic Researcher
Michael Lwanga 196,51,UCE Certificate,"classroom management, communication, curriculum development","learning technologies, student success, mentoring students",University Lecturer
Robert Ssenyonga 197,27,PhD,"assessment design, research, classroom management","student success, educational development, teaching",Academic Researcher
Alice Kyomuhendo 198,33,UCE Certificate,"research, classroom management, curriculum development, communication, assessment design","learning technologies, student success",Special Education Teacher
Fred Kintu 199,52,UACE Certificate,"assessment design, curriculum development, classroom management","mentoring students, learning technologies, teaching",Instructional Coordinator
Susan Aine 200,28,PhD,"classroom management, curriculum development, academic writing","mentoring students, learning technologies",Academic Researcher
Fred Mutebi 1,22,Master's,"scriptwriting, graphic design, fashion design, voice acting, sound engineering","singing, art exhibitions, fashion",Photographer
Linda Nakiyingi 2,20,UACE Certificate,"graphic design, photography, set design","dancing, film production, art exhibitions",Sound Engineer
Steven Nyeko 3,33,UACE Certificate,"video editing, stage management, musical performance, voice acting, scriptwriting","fashion, theatre, music",Photographer
Daniel Nsubuga 4,28,PhD,"graphic design, performance, photography, musical performance, stage management","fashion, theatre, art exhibitions",Photographer
Daniel Nsubuga 5,37,Master's,"set design, fashion design, sound engineering, stage management, directing","art exhibitions, fashion",Fashion Designer
Diana Tushabe 6,24,UACE Certificate,"photography, stage management, creativity","art exhibitions, fashion, film production",Sound Engineer
Sarah Nandutu 7,26,UCE Certificate,"stage management, fashion design, voice acting, photography","music, art exhibitions",Stage Manager
Sarah Nandutu 8,21,Master's,"musical performance, set design, performance, stage management, scriptwriting","performing arts, fashion, dancing",Actor
Sarah Nandutu 9,40,UACE Certificate,"photography, creativity, directing","singing, film production, music",Musician
Sarah Nandutu 10,43,UACE Certificate,"photography, scriptwriting, sound engineering","singing, music, performing arts",Photographer
Steven Nyeko 11,23,UCE Certificate,"fashion design, directing, sound engineering","performing arts, dancing, music",Photographer
Fred Mutebi 12,46,PhD,"fashion design, scriptwriting, artistic expression, graphic design, directing","dancing, music, film production",Photographer
Patricia Nabwire 13,34,Master's,"dance, voice acting, set design","dancing, theatre",Choreographer
Daniel Nsubuga 14,23,PhD,"stage management, artistic expression, creativity, musical performance, scriptwriting","performing arts, film production, singing",Musician
Patricia Nabwire 15,31,UCE Certificate,"stage management, directing, fashion design, photography","singing, performing arts",Animator
Brian Kakooza 16,33,Bachelor's,"performance, scriptwriting, set design, musical performance, video editing","performing arts, film production, singing",Actor
Sarah Nandutu 17,21,UACE Certificate,"photography, performance, sound engineering, set design","performing arts, art exhibitions, fashion",Photographer
Patricia Nabwire 18,28,UACE Certificate,"video editing, graphic design, photography, fashion design, stage management","music, dancing",Animator
Diana Tushabe 19,34,UACE Certificate,"sound engineering, fashion design, scriptwriting","dancing, fashion, singing",Actor
Diana Tushabe 20,49,UCE Certificate,"sound engineering, dance, voice acting","film production, music",Musician
Sarah Nandutu 21,46,PhD,"scriptwriting, creativity, set design","singing, art exhibitions, music",Graphic Designer
Patricia Nabwire 22,36,PhD,"artistic expression, directing, dance","music, singing",Fashion Designer
Patricia Nabwire 23,50,Bachelor's,"graphic design, performance, scriptwriting, stage management, fashion design","singing, performing arts, art exhibitions",Graphic Designer
Patricia Nabwire 24,20,UCE Certificate,"artistic expression, graphic design, fashion design","theatre, music",Animator
Fred Mutebi 25,31,Master's,"musical performance, performance, photography","film production, theatre",Animator
Sarah Nandutu 26,49,Bachelor's,"directing, graphic design, sound engineering, voice acting, video editing","dancing, music",Animator
Alex Ochieng 27,45,PhD,"creativity, dance, stage management, musical performance, artistic expression","film production, music, art exhibitions",Film Director
Brian Kakooza 28,24,UACE Certificate,"performance, voice acting, musical performance, fashion design","performing arts, art exhibitions, fashion",Film Director
Fred Mutebi 29,42,PhD,"creativity, set design, performance, scriptwriting, video editing","singing, music",Photographer
Fred Mutebi 30,37,Bachelor's,"musical performance, video editing, scriptwriting","performing arts, dancing, singing",Choreographer
Alex Ochieng 31,25,UACE Certificate,"musical performance, dance, graphic design","film production, theatre",Stage Manager
Sarah Nandutu 32,37,Master's,"voice acting, directing, artistic expression","art exhibitions, music",Photographer
Patricia Nabwire 33,42,Master's,"graphic design, set design, photography, artistic expression, video editing","singing, art exhibitions, film production",Choreographer
Linda Nakiyingi 34,37,Master's,"performance, sound engineering, set design, artistic expression","music, theatre, singing",Photographer
Steven Nyeko 35,41,Bachelor's,"artistic expression, stage management, graphic design, creativity","performing arts, theatre",Graphic Designer
Cynthia Mirembe 36,31,UACE Certificate,"set design, creativity, musical performance","dancing, film production",Choreographer
Alex Ochieng 37,42,Bachelor's,"sound engineering, musical performance, set design","performing arts, music",Musician
Diana Tushabe 38,36,UACE Certificate,"creativity, fashion design, voice acting","music, fashion",Photographer
Daniel Nsubuga 39,50,UACE Certificate,"artistic expression, sound engineering, fashion design, photography, stage management","theatre, music",Actor
Daniel Nsubuga 40,24,UCE Certificate,"stage management, musical performance, artistic expression","fashion, dancing, theatre",Photographer
Daniel Nsubuga 41,38,UCE Certificate,"directing, fashion design, creativity, sound engineering, performance","music, art exhibitions, film production",Animator
Diana Tushabe 42,37,UACE Certificate,"voice acting, performance, video editing, set design, musical performance","film production, singing, dancing",Musician
Brian Kakooza 43,33,UCE Certificate,"stage management, performance, photography, dance, video editing","art exhibitions, singing, dancing",Choreographer
Diana Tushabe 44,24,PhD,"artistic expression, video editing, set design","theatre, fashion, music",Animator
Alex Ochieng 45,39,Master's,"scriptwriting, stage management, video editing","dancing, theatre, singing",Choreographer
Alex Ochieng 46,37,PhD,"scriptwriting, voice acting, set design, artistic expression","theatre, music, film production",Sound Engineer
Sarah Nandutu 47,26,UACE Certificate,"musical performance, dance, artistic expression, photography, graphic design","film production, art exhibitions, performing arts",Musician
Steven Nyeko 48,32,UACE Certificate,"photography, fashion design, artistic expression, musical performance, graphic design","fashion, art exhibitions",Actor
Alex Ochieng 49,42,Bachelor's,"creativity, dance, photography, fashion design, stage management","art exhibitions, performing arts",Photographer
Brian Kakooza 50,26,UACE Certificate,"dance, video editing, directing, fashion design, scriptwriting","performing arts, music",Film Director
Patricia Nabwire 51,47,Bachelor's,"directing, set design, performance","dancing, music",Actor
Sarah Nandutu 52,35,PhD,"video editing, graphic design, stage management","art exhibitions, performing arts, theatre",Fashion Designer
Brian Kakooza 53,44,Master's,"voice acting, video editing, fashion design","music, performing arts",Choreographer
Patricia Nabwire 54,47,PhD,"video editing, fashion design, dance, voice acting, musical performance","singing, film production, fashion",Choreographer
Sarah Nandutu 55,41,UACE Certificate,"voice acting, stage management, performance","film production, fashion",Graphic Designer
Patricia Nabwire 56,26,UCE Certificate,"scriptwriting, fashion design, video editing, graphic design, artistic expression","art exhibitions, dancing, fashion",Graphic Designer
Diana Tushabe 57,22,Master's,"dance, photography, directing","performing arts, music, art exhibitions",Stage Manager
Patricia Nabwire 58,21,Bachelor's,"stage management, directing, voice acting, fashion design","film production, theatre, music",Film Director
Steven Nyeko 59,26,Bachelor's,"fashion design, musical performance, voice acting, video editing","theatre, film production",Fashion Designer
Brian Kakooza 60,29,UACE Certificate,"voice acting, scriptwriting, photography, musical performance, stage management","film production, art exhibitions, dancing",Photographer
Fred Mutebi 61,20,PhD,"musical performance, scriptwriting, voice acting, stage management, video editing","fashion, dancing, performing arts",Actor
Daniel Nsubuga 62,41,PhD,"stage management, musical performance, dance, directing","dancing, music",Sound Engineer
Daniel Nsubuga 63,37,Bachelor's,"video editing, directing, musical performance, sound engineering, artistic expression","singing, performing arts, theatre",Animator
Sarah Nandutu 64,34,Master's,"graphic design, fashion design, set design","music, theatre, film production",Graphic Designer
Cynthia Mirembe 65,38,UCE Certificate,"creativity, set design, directing, voice acting","performing arts, film production, art exhibitions",Actor
Alex Ochieng 66,21,PhD,"set design, scriptwriting, photography","singing, art exhibitions",Fashion Designer
Alex Ochieng 67,32,UCE Certificate,"dance, scriptwriting, performance, directing","music, theatre",Sound Engineer
Fred Mutebi 68,31,Master's,"sound engineering, voice acting, musical performance","music, film production",Stage Manager
Alex Ochieng 69,39,Bachelor's,"performance, voice acting, musical performance, creativity, video editing","fashion, performing arts",Film Director
Cynthia Mirembe 70,35,UACE Certificate,"performance, photography, directing","music, singing",Fashion Designer
Steven Nyeko 71,35,UACE Certificate,"creativity, sound engineering, photography, voice acting, dance","fashion, film production, singing",Actor
Daniel Nsubuga 72,42,Master's,"artistic expression, musical performance, fashion design, photography, dance","music, art exhibitions",Musician
Diana Tushabe 73,39,Bachelor's,"set design, musical performance, artistic expression, dance, scriptwriting","film production, fashion",Animator
Alex Ochieng 74,33,PhD,"stage management, scriptwriting, fashion design, video editing","art exhibitions, music",Musician
Cynthia Mirembe 75,41,PhD,"musical performance, fashion design, dance, stage management","theatre, film production",Graphic Designer
Patricia Nabwire 76,50,Master's,"performance, graphic design, set design, scriptwriting, fashion design","art exhibitions, dancing, fashion",Fashion Designer
Linda Nakiyingi 77,47,Bachelor's,"musical performance, graphic design, scriptwriting","fashion, singing",Stage Manager
Patricia Nabwire 78,20,Master's,"stage management, performance, directing","music, fashion",Choreographer
Daniel Nsubuga 79,20,PhD,"set design, performance, musical performance, fashion design, creativity","art exhibitions, music",Choreographer
Alex Ochieng 80,27,Bachelor's,"directing, scriptwriting, photography, fashion design, stage management","music, singing",Animator
Alex Ochieng 81,24,PhD,"creativity, graphic design, directing, video editing","dancing, theatre",Fashion Designer
Patricia Nabwire 82,48,UACE Certificate,"sound engineering, musical performance, artistic expression, performance, scriptwriting","music, theatre",Animator
Patricia Nabwire 83,35,UCE Certificate,"musical performance, video editing, stage management, creativity","music, dancing",Musician
Steven Nyeko 84,39,UCE Certificate,"artistic expression, fashion design, creativity","music, singing",Musician
Linda Nakiyingi 85,33,Bachelor's,"fashion design, directing, sound engineering, scriptwriting","dancing, performing arts",Actor
Sarah Nandutu 86,30,PhD,"stage management, sound engineering, artistic expression, scriptwriting","film production, fashion, art exhibitions",Fashion Designer
Sarah Nandutu 87,34,PhD,"dance, artistic expression, graphic design, sound engineering, creativity","singing, theatre",Choreographer
Steven Nyeko 88,32,Master's,"set design, artistic expression, directing, performance","performing arts, singing",Sound Engineer
Brian Kakooza 89,40,Bachelor's,"video editing, artistic expression, set design, sound engineering","dancing, music, fashion",Graphic Designer
Steven Nyeko 90,42,PhD,"fashion design, artistic expression, sound engineering, scriptwriting, creativity","theatre, fashion, dancing",Photographer
Sarah Nandutu 91,47,Bachelor's,"fashion design, voice acting, musical performance, graphic design, scriptwriting","performing arts, theatre",Musician
Diana Tushabe 92,48,Bachelor's,"creativity, dance, fashion design, voice acting","singing, performing arts, dancing",Choreographer
Daniel Nsubuga 93,31,Bachelor's,"voice acting, scriptwriting, video editing, musical performance","dancing, film production",Graphic Designer
Linda Nakiyingi 94,43,Master's,"scriptwriting, video editing, musical performance, sound engineering, dance","music, film production, fashion",Actor
Cynthia Mirembe 95,50,Master's,"video editing, dance, fashion design","fashion, singing",Graphic Designer
Patricia Nabwire 96,34,PhD,"video editing, performance, set design","music, theatre, performing arts",Musician
Brian Kakooza 97,41,UACE Certificate,"photography, directing, artistic expression","fashion, music, film production",Musician
Cynthia Mirembe 98,25,PhD,"directing, set design, artistic expression, musical performance, sound engineering","film production, art exhibitions",Animator
Fred Mutebi 99,42,PhD,"scriptwriting, musical performance, graphic design, artistic expression, dance","singing, music",Animator
Cynthia Mirembe 100,30,PhD,"video editing, artistic expression, stage management, fashion design","theatre, music",Fashion Designer
Cynthia Mirembe 101,21,UACE Certificate,"directing, scriptwriting, dance, musical performance, voice acting","dancing, art exhibitions, music",Animator
Fred Mutebi 102,38,Bachelor's,"musical performance, performance, stage management, creativity","art exhibitions, performing arts",Musician
Cynthia Mirembe 103,27,UCE Certificate,"stage management, dance, set design, performance","theatre, music",Fashion Designer
Fred Mutebi 104,48,UACE Certificate,"creativity, dance, video editing","singing, fashion",Musician
Daniel Nsubuga 105,40,PhD,"directing, photography, sound engineering","fashion, singing, dancing",Fashion Designer
Alex Ochieng 106,46,Bachelor's,"dance, directing, fashion design, scriptwriting, stage management","dancing, film production, fashion",Graphic Designer
Linda Nakiyingi 107,28,UCE Certificate,"set design, scriptwriting, artistic expression","theatre, dancing, film production",Choreographer
Cynthia Mirembe 108,46,UCE Certificate,"musical performance, performance, directing, voice acting, creativity","dancing, film production",Musician
Daniel Nsubuga 109,23,UACE Certificate,"dance, stage management, creativity, fashion design","performing arts, theatre, film production",Graphic Designer
Diana Tushabe 110,48,UACE Certificate,"performance, graphic design, photography","film production, art exhibitions",Sound Engineer
Steven Nyeko 111,31,Master's,"directing, artistic expression, set design","fashion, theatre",Photographer
Daniel Nsubuga 112,44,UACE Certificate,"fashion design, dance, voice acting, scriptwriting, musical performance","art exhibitions, film production",Actor
Linda Nakiyingi 113,40,UACE Certificate,"dance, scriptwriting, stage management","theatre, film production, performing arts",Sound Engineer
Brian Kakooza 114,34,Master's,"musical performance, artistic expression, performance, graphic design, scriptwriting","theatre, performing arts, fashion",Photographer
Linda Nakiyingi 115,33,Master's,"set design, directing, scriptwriting","performing arts, theatre, music",Actor
Alex Ochieng 116,33,UCE Certificate,"creativity, voice acting, graphic design, artistic expression, set design","dancing, singing",Musician
Brian Kakooza 117,26,UACE Certificate,"performance, set design, fashion design, sound engineering","fashion, singing",Fashion Designer
Fred Mutebi 118,39,PhD,"dance, musical performance, voice acting, fashion design","dancing, theatre",Stage Manager
Diana Tushabe 119,41,Master's,"graphic design, musical performance, directing, dance","music, theatre",Actor
Cynthia Mirembe 120,22,UCE Certificate,"sound engineering, photography, graphic design","art exhibitions, film production, fashion",Musician
Diana Tushabe 121,45,Bachelor's,"creativity, dance, artistic expression, stage management, performance","art exhibitions, theatre, singing",Stage Manager
Daniel Nsubuga 122,20,UCE Certificate,"graphic design, sound engineering, directing","performing arts, theatre",Musician
Alex Ochieng 123,47,Master's,"stage management, dance, creativity","singing, dancing",Sound Engineer
Steven Nyeko 124,29,UACE Certificate,"graphic design, artistic expression, dance, creativity, musical performance","fashion, theatre",Graphic Designer
Patricia Nabwire 125,50,PhD,"fashion design, musical performance, dance","music, performing arts",Sound Engineer
Sarah Nandutu 126,28,Bachelor's,"artistic expression, creativity, photography","film production, performing arts",Graphic Designer
Daniel Nsubuga 127,39,Master's,"sound engineering, voice acting, video editing, fashion design","performing arts, music",Graphic Designer
Cynthia Mirembe 128,20,PhD,"sound engineering, stage management, artistic expression, performance, graphic design","fashion, film production",Fashion Designer
Steven Nyeko 129,25,Bachelor's,"artistic expression, directing, dance, set design","singing, dancing, film production",Musician
Patricia Nabwire 130,41,UCE Certificate,"set design, musical performance, performance","dancing, art exhibitions",Graphic Designer
Fred Mutebi 131,37,PhD,"stage management, graphic design, sound engineering, fashion design","art exhibitions, film production",Musician
Sarah Nandutu 132,20,Bachelor's,"scriptwriting, directing, performance","performing arts, film production, art exhibitions",Musician
Diana Tushabe 133,48,UACE Certificate,"directing, sound engineering, performance, dance, video editing","fashion, performing arts",Film Director
Sarah Nandutu 134,39,UACE Certificate,"musical performance, dance, video editing, performance","music, fashion",Musician
Diana Tushabe 135,24,UCE Certificate,"video editing, directing, musical performance, creativity","fashion, performing arts, singing",Animator
Linda Nakiyingi 136,30,Bachelor's,"voice acting, sound engineering, directing","film production, fashion",Stage Manager
Brian Kakooza 137,22,Bachelor's,"set design, artistic expression, musical performance, stage management, voice acting","theatre, art exhibitions",Choreographer
Daniel Nsubuga 138,48,UCE Certificate,"stage management, artistic expression, video editing, creativity, scriptwriting","art exhibitions, music, dancing",Fashion Designer
Fred Mutebi 139,20,PhD,"set design, photography, stage management","fashion, art exhibitions",Musician
Sarah Nandutu 140,37,PhD,"photography, video editing, voice acting, artistic expression","dancing, fashion, film production",Fashion Designer
Daniel Nsubuga 141,31,PhD,"performance, graphic design, sound engineering","fashion, film production",Graphic Designer
Steven Nyeko 142,45,UCE Certificate,"musical performance, voice acting, dance","dancing, performing arts, fashion",Sound Engineer
Patricia Nabwire 143,21,Bachelor's,"stage management, directing, creativity","singing, art exhibitions, theatre",Film Director
Brian Kakooza 144,20,UACE Certificate,"creativity, sound engineering, graphic design","film production, dancing",Graphic Designer
Alex Ochieng 145,39,Master's,"sound engineering, scriptwriting, performance","fashion, performing arts",Fashion Designer
Linda Nakiyingi 146,27,Master's,"sound engineering, artistic expression, set design","dancing, singing",Animator
Daniel Nsubuga 147,41,Master's,"scriptwriting, sound engineering, artistic expression","film production, theatre, fashion",Sound Engineer
Patricia Nabwire 148,40,PhD,"graphic design, video editing, dance, musical performance, fashion design","film production, performing arts, fashion",Sound Engineer
Alex Ochieng 149,40,Master's,"graphic design, stage management, performance, musical performance, video editing","performing arts, art exhibitions",Stage Manager
Cynthia Mirembe 150,44,Bachelor's,"graphic design, voice acting, performance, directing, set design","dancing, music",Animator
Steven Nyeko 151,39,UACE Certificate,"video editing, performance, voice acting, dance, artistic expression","art exhibitions, theatre, film production",Photographer
Patricia Nabwire 152,32,UCE Certificate,"photography, creativity, performance","theatre, dancing",Animator
Brian Kakooza 153,43,Master's,"graphic design, musical performance, dance, photography, video editing","film production, fashion, dancing",Musician
Steven Nyeko 154,45,Master's,"stage management, directing, sound engineering, performance","theatre, singing, art exhibitions",Stage Manager
Patricia Nabwire 155,37,UCE Certificate,"musical performance, stage management, scriptwriting, photography","singing, dancing, music",Photographer
Steven Nyeko 156,40,Master's,"photography, stage management, directing, performance, creativity","art exhibitions, theatre, music",Animator
Fred Mutebi 157,26,Bachelor's,"graphic design, musical performance, sound engineering","music, film production, singing",Photographer
Steven Nyeko 158,29,PhD,"scriptwriting, sound engineering, performance, directing, video editing","fashion, film production",Choreographer
Brian Kakooza 159,43,Bachelor's,"musical performance, performance, stage management, fashion design","singing, film production",Actor
Fred Mutebi 160,29,Master's,"artistic expression, graphic design, photography, directing, scriptwriting","dancing, singing",Fashion Designer
Patricia Nabwire 161,30,UACE Certificate,"fashion design, set design, voice acting, scriptwriting, performance","performing arts, singing",Graphic Designer
Brian Kakooza 162,33,Master's,"fashion design, set design, creativity","dancing, music",Musician
Fred Mutebi 163,25,PhD,"musical performance, creativity, directing, scriptwriting","art exhibitions, singing",Stage Manager
Linda Nakiyingi 164,21,PhD,"performance, scriptwriting, sound engineering","singing, art exhibitions",Film Director
Fred Mutebi 165,43,Bachelor's,"graphic design, directing, creativity, video editing, set design","music, singing, theatre",Film Director
Patricia Nabwire 166,25,Master's,"fashion design, set design, voice acting, musical performance, performance","fashion, singing, performing arts",Musician
Cynthia Mirembe 167,29,UCE Certificate,"performance, sound engineering, photography, graphic design, fashion design","music, performing arts, theatre",Choreographer
Sarah Nandutu 168,50,Bachelor's,"dance, performance, set design","fashion, performing arts, music",Graphic Designer
Linda Nakiyingi 169,35,Bachelor's,"photography, fashion design, set design, directing","singing, music",Film Director
Patricia Nabwire 170,39,PhD,"artistic expression, photography, video editing","art exhibitions, fashion, performing arts",Actor
Linda Nakiyingi 171,29,Bachelor's,"directing, sound engineering, musical performance, scriptwriting","music, performing arts, fashion",Choreographer
Cynthia Mirembe 172,33,Master's,"set design, stage management, graphic design, photography, voice acting","performing arts, singing",Fashion Designer
Alex Ochieng 173,43,Bachelor's,"directing, artistic expression, musical performance, performance","music, singing, performing arts",Actor
Daniel Nsubuga 174,46,Bachelor's,"creativity, video editing, graphic design, sound engineering","art exhibitions, dancing",Fashion Designer
Diana Tushabe 175,29,UACE Certificate,"directing, photography, creativity, artistic expression","singing, art exhibitions, theatre",Fashion Designer
Sarah Nandutu 176,38,UCE Certificate,"directing, performance, graphic design","dancing, fashion",Actor
Daniel Nsubuga 177,44,Bachelor's,"performance, set design, graphic design","singing, fashion, film production",Film Director
Steven Nyeko 178,33,UACE Certificate,"fashion design, performance, photography, scriptwriting, musical performance","performing arts, fashion",Film Director
Steven Nyeko 179,20,Master's,"stage management, photography, set design","dancing, fashion",Stage Manager
Cynthia Mirembe 180,46,UACE Certificate,"artistic expression, sound engineering, directing, scriptwriting","performing arts, film production, art exhibitions",Film Director
Fred Mutebi 181,27,UACE Certificate,"performance, creativity, sound engineering, fashion design","performing arts, fashion",Fashion Designer
Patricia Nabwire 182,23,UACE Certificate,"directing, artistic expression, stage management, performance","fashion, dancing",Photographer
Fred Mutebi 183,26,UACE Certificate,"fashion design, dance, voice acting","fashion, theatre",Stage Manager
Patricia Nabwire 184,47,PhD,"musical performance, stage management, video editing","music, performing arts, theatre",Actor
Diana Tushabe 185,34,PhD,"graphic design, musical performance, stage management","theatre, performing arts",Choreographer
Alex Ochieng 186,29,Master's,"musical performance, stage management, photography, directing, sound engineering","theatre, performing arts",Sound Engineer
Linda Nakiyingi 187,33,PhD,"stage management, photography, fashion design","music, dancing, art exhibitions",Film Director
Fred Mutebi 188,22,UACE Certificate,"photography, directing, stage management, scriptwriting, creativity","dancing, performing arts",Musician
Diana Tushabe 189,44,UCE Certificate,"fashion design, sound engineering, creativity, video editing, set design","fashion, performing arts",Fashion Designer
Linda Nakiyingi 190,43,PhD,"set design, photography, performance, graphic design","fashion, performing arts, theatre",Graphic Designer
Daniel Nsubuga 191,50,UCE Certificate,"scriptwriting, sound engineering, stage management, artistic expression","performing arts, theatre, art exhibitions",Graphic Designer
Brian Kakooza 192,38,UACE Certificate,"scriptwriting, photography, fashion design","music, art exhibitions",Photographer
Steven Nyeko 193,42,Master's,"set design, musical performance, stage management, sound engineering, video editing","music, art exhibitions",Stage Manager
Patricia Nabwire 194,44,Bachelor's,"fashion design, graphic design, musical performance, stage management","music, singing, performing arts",Stage Manager
Brian Kakooza 195,39,UACE Certificate,"sound engineering, stage management, dance","music, art exhibitions",Film Director
Patricia Nabwire 196,48,UACE Certificate,"set design, directing, fashion design","theatre, singing",Musician
Steven Nyeko 197,44,Bachelor's,"stage management, sound engineering, video editing","theatre, fashion, dancing",Sound Engineer
Patricia Nabwire 198,43,Bachelor's,"dance, scriptwriting, directing, fashion design","music, dancing, singing",Photographer
Diana Tushabe 199,43,UACE Certificate,"sound engineering, directing, video editing, creativity, stage management","theatre, performing arts, dancing",Photographer
Brian Kakooza 200,29,PhD,"musical performance, performance, graphic design","theatre, music",Sound Engineer
Hassan Mugisha 1,37,UCE Certificate,"research, social media management, writing, public speaking, advertising","public relations, communications",Media Planner
Pauline Lwanga 2,29,PhD,"copywriting, public speaking, journalism, writing","social media, media, content creation",TV Producer
Timothy Nabimanya 3,23,PhD,"media relations, copywriting, video production","news, communications",TV Producer
Zainab Najjuma 4,47,UACE Certificate,"advertising, video production, media strategy","public relations, communications, advertising",Film Editor
Zainab Najjuma 5,22,UACE Certificate,"content creation, journalism, media relations","public relations, communications",Social Media Manager
Hassan Mugisha 6,39,Master's,"research, writing, public speaking","broadcasting, advertising",Media Planner
Pauline Lwanga 7,41,UACE Certificate,"video production, broadcasting, advertising","social media, content creation",Film Editor
Jasmine Olum 8,21,UCE Certificate,"public relations, content creation, photography","social media, content creation, advertising",Advertising Executive
Timothy Nabimanya 9,27,UACE Certificate,"social media management, copywriting, public relations","broadcasting, social media",Radio Host
Oliver Kato 10,24,PhD,"journalism, copywriting, broadcasting","advertising, broadcasting",Film Editor
Timothy Nabimanya 11,23,PhD,"advertising, content creation, broadcasting, public relations","content creation, broadcasting",Public Relations Specialist
Zainab Najjuma 12,34,UCE Certificate,"public speaking, media relations, journalism, writing, social media management","advertising, broadcasting",Journalist
Jasmine Olum 13,46,Master's,"photography, research, journalism","broadcasting, content creation, news",Social Media Manager
Zainab Najjuma 14,34,UACE Certificate,"public relations, media relations, advertising, editing, photography","advertising, media, news",Copywriter
Oliver Kato 15,49,Master's,"photography, social media management, content creation, journalism","news, broadcasting, public relations",Radio Host
Zainab Najjuma 16,43,PhD,"photography, advertising, social media management, public speaking","content creation, communications, news",Advertising Executive
Oliver Kato 17,50,UACE Certificate,"social media management, media relations, video production, media strategy","news, public relations, broadcasting",Content Strategist
Evan Nsamba 18,41,UCE Certificate,"video production, public relations, social media management, writing","news, content creation",Media Planner
Rita Kabugo 19,23,Bachelor's,"advertising, content creation, editing, public speaking","content creation, advertising, public relations",TV Producer
Oliver Kato 20,40,Master's,"advertising, public speaking, media strategy, broadcasting","content creation, broadcasting",Public Relations Specialist
Zainab Najjuma 21,25,PhD,"advertising, research, photography, video production, media relations","media, advertising",Film Editor
Jasmine Olum 22,47,Master's,"advertising, journalism, social media management, photography, copywriting","content creation, broadcasting, public relations",Content Strategist
Evan Nsamba 23,47,UACE Certificate,"photography, editing, advertising, public speaking, content creation","advertising, news",Journalist
George Kato 24,27,UACE Certificate,"broadcasting, video production, writing","communications, advertising",TV Producer
Zainab Najjuma 25,46,Bachelor's,"video production, advertising, photography","media, news, content creation",Radio Host
Pauline Lwanga 26,27,PhD,"media strategy, photography, journalism, research","public relations, content creation, broadcasting",Content Strategist
